企業コード,業種,企業名,2018売上,2018営業利益,2018当期利益,2018基本的1株当たり当期利益,2019売上,2019営業利益,2019当期利益,2019基本的1株当たり当期利益,2020売上,2020営業利益,2020当期利益,2020基本的1株当たり当期利益,2021売上,2021営業利益,2021当期利益,2021基本的1株当たり当期利益,20201株当たりの当期純利益,2020PER,20201株当たりの純資産,2020PBR,2020ROA,2020ROE,2020自己資本比率,2020配当性向,2020営業CF,2020投資CF,2020財務CF,20211株当たりの当期純利益,2021PER,20211株当たりの純資産,2021PBR,2021ROA,2021ROE,2021自己資本比率,2021配当性向,2021営業CF,2021投資CF,2021財務CF,短信決算発表日,決算月,2020配当利回り,2021配当利回り,中間配当,期末配当,中間配当権利付き最終日,中間配当基準日,期末配当権利付き最終日,期末配当基準日,専門家予想,みんなの予想
6367,機械,ダイキン,"2,290,560","253,739","189,051",646.53,"2,481,109","276,254","189,048",646.39,"2,550,305","265,513","170,731",583.61,"2,493,386","238,623","156,249",533.97,487.16,,"2,876.43",,6.4,11.98,59.2,27.4,"302,166","△156,187","△169,933",299.77,,"3,151.01",,4.82,10.08,54.8,30,"374,691","△159,666","98,942",2021/5/11,3.0,1.11,0.81,90.0,80.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,6,2
6472,機械,NTN,"744,372","39,608","20,373",38.36,"733,569","26,945","△6,958",△13.10,"651,956","7,517","△43,992",△82.83,"562,847","△3,138","△11,641",△21.92,△33.01,,261.97,,△5.81,△22.78,24.4,△6.03,"43,749","△61,807","7,413",△17.66,,250.74,,△1.39,△7.13,21.2,0,"36,473","△17,938","54,671",2021/5/14,3.0,0.0,0.0,0.0,0.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,9,8
7004,機械,日立造,"376,437","5,907","2,171",12.88,"378,140","7,358","5,445",32.31,"402,450","13,891","2,197",13.04,"408,592","15,396","4,258",25.26,13.04,,700.15,,0.54,1.85,28.8,92,"32,808","6,179","△31,364",25.26,,749.58,,0.99,3.49,29.4,47.5,"22,781","△13,949","△5,271",2021/5/13,3.0,3.17,2.46,0.0,12.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,9,5
6301,機械,コマツ,"2,501,107","268,503","196,410",208.25,"2,725,243","397,806","256,491",271.81,"2,444,870","250,707","153,844",162.93,"2,189,512","167,328","106,237",112.43,61.73,,876.06,,4.21,8.58,61.0,57.7,"295,181","△190,930","△3,457",23.14,,842.84,,2.81,5.77,59.8,48.9,"354,129","△163,057","△199,667",2021/4/30,3.0,3.83,2.18,40.0,37.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,7,1
7013,機械,IHI,"1,590,333",72267,8291,53.71,1483442,82488,39889,258.53,"1,263,178",47859,13251,53.93,1112906,27961,16954,88.13,△37.60,,1377.51,,0.74,3.79,17.0,92.7,42484,△85572,96892,107.78,,1681.31,,0.71,4.18,20.9,0,36380,△40482,△23712,2021/5/13,3.0,2.05,0.0,30.0,0.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,6,10
7011,機械,三菱重,"4,085,679","58,176","16,588",△21.79,"4,078,344","186,724","128,471",301.95,"4,041,376","△29,538","107,284",259.39,"3,699,946","54,081","43,202",120.92,△929.27,,"2,317.24",,1.75,6.63,24.5,57.8,"452,564","△239,566","△204,452",312.23,,"2,715.44",,0.84,3.14,32.3,62,"△94,948","△182,249","221,737",2021/5/10,3.0,3.52,2.72,45.0,75.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,7,10
6361,機械,荏原,"509,175",32482,18262,179.94,"522,424","35,298","23,349",241.79,"522,424","35,298","23,349",241.79,"523,727","37,879","24,473",256.85,165.46,,"2,666.94",,3.92,8.29,58.2,24.8,"26,720","△24,077","△20,188",244.06,,"2,838.32",,3.76,8.46,59.5,35,"64,234","△29,071","△9,628",2021/2/12,12.0,3.26,3.11,50.0,113.0,2021/6/27,2021/6/30,2021/12/28,2021/12/31,3,9
6273,機械,SMC,591035,192428,136869,2036.33,576948,180203,30631,1943.35,526000,146254,110500,1656.44,552178,153355,121790,1831.98,990.08,,11491.54,,7.95,8.87,89.3,24.1,124610,24923,△49925,3954.33,,14780.89,,7.91,9.27,90.3,27.3,120473,73440,△56009,2021/5/14,3.0,0.9,0.84,300.0,300.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,6,9
7003,造船,三井E&S,"703,216","△5,224","△10,137",△125.42,"656,504","△59,703","△69,599",△861.09,"786,477","△62,079","△86,210","△1,066.47","663,834","△12,243",134,1.67,△446.59,,204.24,,△10.26,△77.00,4.8,0,"△37,213","84,125","△26,825",201,,407.88,,0.02,0.21,9.9,0,"7,478","21,115","△6,813",2021/5/11,3.0,0.0,0.0,0.0,0.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,6,4
7012,造船,川重,"1,574,242","55,925","28,915",173.09,"1,594,743","64,023","27,453",164.34,"1,641,335","62,063","18,662",111.72,"1,488,486","△5,305","△19,332",△115.73,64.78,,"1,938.63",,0.95,4,20.1,31.3,"△15,461","△69,401","115,803",△214.24,,"1,722.61",,△0.98,△4.20,17.6,0,"34,601","△37,392","23,093",2021/5/11,3.0,1.48,0.0,20.0,0.0,2021/9/27,2021/9/30,2021/3/28,2021/3/31,4,9
